物料编码,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05
6004020736,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020759,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0,4,4,4,4,10,0,0,0,0,0,0,0,0,0
6004020763,4,0,8,8,2,4,0,4,0,0,12,6,6,0,11,34,4,17,12,18,9,20,12,4,4,2,8,4,2,3,0,2,0,6,15,17,1,4,4,16,0
6004020764,2,0,2,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6004020768,4,2,14,24,8,6,8,10,8,8,0,0,4,1,4,4,24,8,36,35,20,8,4,8,4,8,10,12,6,8,8,22,14,20,21,14,1,4,14,14,6
6004020769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020770,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,4,0,0,0,0,0
6004020782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020784,0,4,6,12,5,4,11,9,8,6,4,2,2,0,0,4,2,3,0,4,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
6004020785,1,2,8,9,6,4,8,6,3,2,11,0,1,2,1,11,2,11,5,13,5,3,1,1,2,2,8,7,9,0,0,3,2,3,6,6,2,3,3,6,1
6004020786,0,0,0,1,1,6,6,5,0,0,0,0,0,0,0,4,0,8,3,0,2,7,0,1,0,2,0,5,0,4,4,2,6,0,0,4,0,0,3,0,0
6004020789,0,8,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
6004020790,8,0,8,4,0,2,2,0,4,0,0,0,0,0,4,2,4,2,5,6,8,0,10,4,0,0,4,2,0,2,2,0,0,0,0,0,0,4,0,0,0
6004020791,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020795,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
6004020797,1,4,22,30,20,12,19,35,16,11,7,5,0,0,9,10,7,14,0,19,0,4,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0
6004020799,0,0,5,4,6,4,6,3,1,3,3,0,0,0,0,4,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
6004020806,0,0,1,0,0,0,0,2,1,1,0,0,4,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020810,1,0,0,2,1,3,2,6,0,0,10,0,0,0,9,9,6,19,12,8,5,4,7,6,5,0,5,4,6,1,4,12,6,6,3,8,2,0,4,5,1
6004020811,0,0,2,0,2,2,2,1,2,0,14,1,0,0,9,4,0,0,0,0,7,0,1,0,0,2,1,0,0,2,1,8,13,5,2,4,0,0,0,0,0
6004020819,4,18,0,0,24,74,0,0,2,25,1,25,0,0,25,34,0,49,2,0,0,1,4,1,2,0,6,1,0,0,0,4,3,0,0,1,1,2,0,0,0
6004020820,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020821,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6004020822,0,2,0,0,2,4,0,0,0,2,0,2,0,0,2,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020823,4,0,1,4,0,1,0,0,0,0,1,0,0,0,0,2,4,2,5,0,1,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
6004020824,0,0,4,1,0,0,0,0,4,0,0,0,0,0,4,0,0,3,2,4,0,0,4,2,0,0,3,2,2,0,0,0,0,0,1,0,0,0,2,0,0
6004020826,16,0,17,6,0,6,6,0,6,0,0,0,0,0,6,4,6,4,7,9,18,0,15,6,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
6004020827,5,0,5,2,0,2,2,0,2,0,0,0,0,0,2,2,2,2,4,4,6,0,3,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
6004020828,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020838,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020839,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020840,0,1,0,2,2,2,1,0,2,0,1,14,3,1,4,5,4,2,0,4,7,4,1,4,4,4,8,2,1,2,2,15,38,6,13,16,8,0,7,7,3
6004020841,3,3,0,6,53,12,11,0,6,0,4,82,26,3,7,33,38,7,0,33,36,34,6,15,22,20,24,2,3,10,36,65,145,28,100,75,41,0,60,44,30
6004020847,10,5,7,8,16,0,10,6,24,26,12,16,11,4,20,20,16,24,15,16,29,19,10,12,14,8,6,16,5,6,4,4,9,8,8,9,6,12,11,8,6
6004020848,0,0,1,0,0,1,1,2,7,8,3,3,2,0,1,5,1,3,3,3,2,6,4,3,2,3,4,3,1,0,0,0,2,1,0,2,0,1,1,0,1
6004020849,6,4,2,10,7,8,8,9,9,15,16,11,15,5,23,41,12,32,19,12,22,19,11,13,2,8,4,11,3,3,0,5,3,4,2,3,0,0,6,0,3
6004020850,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,2,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020852,0,0,2,0,0,0,0,0,20,8,0,0,0,0,6,0,5,2,0,2,0,0,0,0,4,6,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0
6004020853,0,0,0,0,1,0,1,2,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0
6004020854,1,1,0,1,3,0,0,0,0,3,0,2,0,0,0,0,0,3,0,2,4,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
6004020855,1,0,0,2,6,0,2,0,0,2,1,4,1,0,9,8,8,23,6,15,11,2,4,3,6,0,6,4,0,5,0,1,1,0,4,3,0,0,0,1,0
6004020856,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0
6004020857,0,0,4,0,0,0,3,0,2,1,3,0,0,0,6,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6004020859,15,5,6,16,5,24,23,21,8,20,17,14,22,3,34,81,6,31,42,39,30,17,28,25,9,4,9,18,9,8,0,2,13,7,5,10,1,1,13,14,6
6004020861,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6004020863,0,2,2,1,9,0,3,1,3,2,1,3,0,0,3,5,4,3,1,7,7,3,4,3,9,1,3,8,5,5,1,0,2,4,3,2,6,7,6,7,1
6004020864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6004020865,0,1,1,0,0,0,0,0,0,1,2,0,1,0,2,3,0,3,0,0,2,0,1,0,3,0,1,0,0,0,0,0,2,0,0,3,0,0,2,1,0
6004020867,0,0,2,1,1,0,0,0,0,1,1,0,0,0,1,2,2,3,1,3,4,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
6004020882,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6004020887,12,6,19,10,11,4,17,14,7,4,19,16,18,8,50,44,42,32,32,15,54,23,30,17,13,9,16,12,3,3,2,14,4,6,5,6,4,11,14,10,7
6004020888,4,4,4,6,9,2,1,3,6,2,4,2,0,0,0,0,3,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,2,0
6004020890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,0,3,1,1,6,6,5,0,0,0,4,2,11,4,2,0,1,8,2,6
6004020891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6004020897,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,6,0,0,0,0,1,1,0,0,0,0,0
6004020900,0,0,0,0,0,0,0,0,0,4,12,11,15,4,20,38,26,45,43,38,45,33,28,20,11,8,12,18,11,10,23,17,22,40,31,32,5,11,41,25,18
6004020901,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
6004020902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,8,13,6,0,2,4,2,2,2,4,2,0,4,2,3,4,5,1,0,0,4,2,0
6004020903,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020905,0,2,2,0,1,7,0,7,1,4,4,5,3,2,10,19,17,21,34,33,29,30,14,13,14,7,17,16,12,12,12,27,14,14,24,35,0,1,5,6,1
6004020906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020907,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6004020918,19,41,63,25,77,10,26,34,106,154,129,179,15,16,46,50,60,140,44,39,109,51,22,61,68,35,43,64,31,19,11,34,29,21,39,59,11,54,69,40,70
6004020919,3,5,27,2,12,4,13,15,15,24,13,15,0,1,6,15,12,6,7,6,9,6,9,6,3,0,10,13,11,1,11,6,2,1,4,4,0,0,6,0,3
6004020920,8,7,11,3,8,1,1,1,16,26,9,8,4,1,9,6,10,5,5,4,15,1,4,14,8,5,7,10,2,3,2,5,5,2,6,6,1,5,10,2,4
6004020921,6,10,12,19,32,0,21,10,48,51,27,28,22,8,39,40,32,52,30,32,56,40,23,25,30,16,12,33,10,10,10,8,19,13,17,18,12,12,23,18,10
6004020922,6,3,15,7,11,9,33,9,41,38,16,20,9,3,22,19,12,25,5,7,16,2,4,9,9,11,12,9,8,0,0,4,3,2,7,2,1,4,9,1,3
6004020923,8,0,11,2,0,0,3,0,0,0,0,0,0,0,3,4,3,4,8,7,13,0,8,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
6004020929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020933,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
6004020934,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020935,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,4,2,0,7,4,4,6,3,0,3,6,0,1,0,0,2,6,2,1,2
6004020971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,4,6,2,3,0,4,6,0,1,7,5,2,4,1,4,1,3,2,0,1,1,2,0,0
6004020972,0,0,0,0,0,0,0,0,0,0,9,7,14,2,19,26,13,32,18,17,24,28,12,2,2,1,4,2,1,1,0,1,0,4,8,8,0,2,2,5,0
6004020973,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,2,2,0,2,0,0,0,2,2,5,4,0,8,0,0,0,0,0,0,0,3,0
6004020976,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,3,1,4,5,2,1,7,4,3,3,6,5,1,2,3,2,5,1,5,3,2,9,0,2
6004020977,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,3,2,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
6004020979,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,6,0,5,3,3,3,3,3,1,4,0,3,1,1,0,0,1,2,0,0,2,1,0,4,1,0
6004020994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
6004021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6004021022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6,2,0,3,5,1,0,5,6,0
6004021030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,89,120,198,93,117,113,249,43,0,0,70,99,0,7,24,1,0,0,0,0,0,0,0,0,0
6004021032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,8,4,6,2,2,4,4,3,1,2,4,0,2,5,2,3
6004021034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,6,17,6,16,4,1,0,0,10,2,0,0,0,0,0,0,0,0
6004021036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,2,1,0,0,0,2,2,8,1,3,4,0,6,0,1,3,2
6004021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,6,18,6,0,0,10,12,12,38,16,12,30,0,39,0,6,21,12
6004021055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,71,210,387,205,57,196,135,162,184,136,207,172,159,129,123,76,43,132,115,41
6004021056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,88,12,85,83,76,47,79,27,20,131,33,21,0,27,24,8,0
6004021057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,54,29,19,4,30,29,25,27,16,28,17,22,21,15,6,12,16,19,15
6004021058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,24,16,22,0,19,19,16,10,11,22,7,15,9,1,3,3,6,14,4
6004021060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,4,5,3,2
6004021061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,12,13,9,18,22,17,18,21,7,21,40,33,25
6004021065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6004021071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
6004021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,28,32
6004021084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
6004021091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,4,1,3,7,5,4,3,5,4,0,5,1,2,5,10,2,3
6004021092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
6004021096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,15,65,39,31,19,7,24,9,14,13,25,21,16,18,37,30,26,26,9,2,0,35,17,19
6004021097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,10,12,8,3,0,4,8,6,4,7,10,4,0,6,4,6,2,4,0,2,14,4,2
6004021102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
6004021105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
6004021106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6
6004021111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,24,49,23,24,8,5,28,6,9,6,28,4,5,6,30,28,3,0,23,40,0
6004021112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,17,16,15,17,13,15,7,5,7,6,11,12,14,14,10,17,19,10,10,0,13,22,14
6004021113,0,0,1,0,1,0,2,2,0,1,0,0,0,0,2,3,2,4,3,6,13,22,20,10,10,9,9,14,9,13,16,17,17,3,12,9,4,9,32,18,10
6004021115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
6004021133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,7,1,3
6004021134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0
6004021137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
6004021141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,1
6004021145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
6004021146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6004021147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6004021148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6004021149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
6004021155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,68,132,123,29,119,76,42,135,144,104,71
6004021156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,47,8,7,2,53,106,73,90,14,2,4,0,21,8,2,4,1,2,0
6004021157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,16,12,3,9,6,5,11,13,10,6
6004021158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,22,4,8,7,5,8,6,11,2,7,3,4,13,5,1,4,3,2,2
6004021159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,33,13,5,21,12,9,20,26,12,13
6004021161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,6,4,14,3,1,5,3,8,2
6004100006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004100008,42,19,55,57,38,33,64,70,76,127,77,15,7,4,34,42,40,26,11,33,39,11,13,21,18,9,6,19,17,6,1,17,23,15,24,31,8,10,30,16,19
6004100012,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
